name,price,change,change%,high,low
群益工業國入息基金B月配型(美元)(本基金配息來源可能為本金),0.16,20.07,9.23,21.30,0.03
群益工業國入息基金A累積型(美元)(本基金配息來源可能為本金),0.16,10.95,8.11,37.56,0.05
群益全球特別股收益基金A累積型(台幣)(本基金之配息來源可能為本金),0.15,61.86,5.10,64.93,0.08
元大全球股票入息基金-B配息(台幣)(本基金之配息來源可能為本金),0.15,13.92,6.31,34.66,0.04
群益全球特別股收益基金B月配型(台幣)(本基金之配息來源可能為本金),0.15,31.62,9.54,36.02,0.04
群益中國新機會基金(台幣),0.14,37.56,7.42,10.05,0.01
野村全球氣候變遷基金,0.13,68.10,8.32,10.38,0.01
凱基雲端趨勢基金(台幣),0.12,37.24,9.54,23.99,0.02
群益工業國入息基金B月配型(人民幣)(本基金配息來源可能為本金),0.12,48.50,9.60,12.36,0.01
群益工業國入息基金A累積型(人民幣)(本基金配息來源可能為本金),0.11,10.09,4.65,13.41,0.01
群益工業國入息基金A累積型(台幣)(本基金配息來源可能為本金),0.10,10.38,3.00,60.99,0.04
國泰全球高股息基金(澳幣),0.10,24.61,4.26,15.63,0.01
景順全球科技基金,0.08,19.57,8.67,22.01,0.01
群益工業國入息基金B月配型(台幣)(本基金配息來源可能為本金),0.08,16.12,4.78,24.06,0.01
凱基醫院及長照產業基金(美元),0.07,63.09,9.82,30.56,0.01
凱基醫院及長照產業基金(台幣),0.07,16.45,4.05,11.53,0.00
